cole_area_ubicacion_urbano;cole_bilingue_si;cole_calendario;cole_caracter;cole_cod_depto_ubicacion;cole_genero;cole_jornada;estu_cod_depto_presentacion;estu_edad;estu_genero_m;estu_privado_libertad_si;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil_si;fami_tienecomputador_si;fami_tieneinternet_si;fami_tienelavadora_si;target
1;0;0.8645766230047957;0.8067425381146661;0.15555555555555556;0.8930642044234486;0.2903156538544127;0.15555555555555556;20.67;0;0;uno;educación profesional completa;secundaria (bachillerato) completa;estrato 1;1 a 2;0;1;1;1;0
1;1;0.8645766230047957;0.8067425381146661;0.03333333333333333;0.8930642044234486;0.5832080738672966;0.03333333333333333;21.24;0;0;cuatro;postgrado;postgrado;estrato 5;3 a 4;1;1;1;1;1
1;0;0.028416004580917614;0.8067425381146661;0.15555555555555556;0.8930642044234486;0.02297616491303414;0.15555555555555556;21.33;0;0;uno;primaria incompleta;no sabe;estrato 1;1 a 2;0;1;1;0;0
1;0;0.10700737241428673;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.2903156538544127;0.06666666666666668;20.17;0;0;seis o mas;técnica o tecnológica completa;educación profesional incompleta;estrato 3;5 a 6;1;1;1;1;0
0;0;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.5832080738672966;0.22222222222222224;20.15;0;0;tres;técnica o tecnológica completa;educación profesional incompleta;estrato 3;3 a 4;1;1;1;1;1
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;21.25;1;0;tres;educación profesional completa;educación profesional completa;estrato 4;3 a 4;1;1;1;1;0
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.96;1;0;tres;postgrado;educación profesional completa;estrato 6;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;20.7;0;0;dos;secundaria (bachillerato) completa;secundaria (bachillerato) completa;estrato 2;1 a 2;0;1;1;1;0
0;0;0.8645766230047957;0.8067425381146661;0.0;0.8930642044234486;0.5832080738672966;0.0;20.18;0;0;cuatro;educación profesional completa;secundaria (bachillerato) completa;estrato 6;5 a 6;1;1;1;1;0
1;0;0.8645766230047957;0.11509555507837664;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;20.42;0;0;tres;educación profesional completa;educación profesional completa;estrato 3;5 a 6;1;1;1;1;0
1;0;0.10700737241428673;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.2903156538544127;0.06666666666666668;23.14;1;0;dos;secundaria (bachillerato) completa;secundaria (bachillerato) completa;estrato 2;5 a 6;0;0;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.03333333333333333;0.8930642044234486;0.5832080738672966;0.03333333333333333;20.97;1;0;tres;no sabe;no sabe;estrato 6;3 a 4;1;1;1;1;1
0;0;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.66;1;0;cuatro;educación profesional completa;educación profesional completa;estrato 5;5 a 6;1;1;1;1;0
0;1;0.8645766230047957;0.8067425381146661;0.0;0.8930642044234486;0.5832080738672966;0.0;21.3;1;0;cinco;educación profesional completa;educación profesional completa;estrato 5;5 a 6;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.15555555555555556;0.07164841457304416;0.5832080738672966;0.15555555555555556;19.75;0;0;tres;educación profesional completa;secundaria (bachillerato) completa;estrato 4;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;21.06;0;0;tres;postgrado;postgrado;estrato 5;3 a 4;1;1;1;1;1
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;21.25;0;0;cinco;postgrado;postgrado;estrato 6;5 a 6;1;1;1;1;1
1;1;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.95;1;0;tres;educación profesional incompleta;secundaria (bachillerato) incompleta;estrato 5;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.68;0;0;cuatro;postgrado;postgrado;estrato 4;3 a 4;1;1;1;1;1
0;0;0.10700737241428673;0.8067425381146661;0.9888888888888889;0.8930642044234486;0.2903156538544127;0.9888888888888889;22.54;1;0;dos;primaria incompleta;primaria completa;estrato 1;3 a 4;0;0;1;0;0
0;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.91;1;0;tres;técnica o tecnológica completa;técnica o tecnológica completa;estrato 4;3 a 4;1;1;1;1;1
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.99;0;0;tres;postgrado;postgrado;estrato 6;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.15;0;0;dos;educación profesional completa;educación profesional completa;estrato 4;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.47;1;0;dos;educación profesional completa;educación profesional completa;estrato 5;1 a 2;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;20.92;1;0;dos;técnica o tecnológica completa;educación profesional completa;estrato 3;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.13333333333333333;0.8930642044234486;0.5832080738672966;0.13333333333333333;19.26;1;0;tres;postgrado;postgrado;estrato 5;3 a 4;1;1;1;1;1
0;0;0.8645766230047957;0.8067425381146661;0.0;0.8930642044234486;0.5832080738672966;0.0;20.69;1;0;dos;educación profesional completa;primaria incompleta;estrato 5;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.006799799584854341;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;19.42;1;0;tres;secundaria (bachillerato) completa;técnica o tecnológica completa;estrato 3;5 a 6;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.035287381003507264;0.5832080738672966;0.7888888888888889;19.32;1;0;cuatro;educación profesional completa;educación profesional completa;estrato 5;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.07164841457304416;0.5832080738672966;0.06666666666666668;21.99;0;0;cuatro;educación profesional completa;secundaria (bachillerato) completa;estrato 6;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.11509555507837664;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;19.95;0;0;tres;técnica o tecnológica completa;educación profesional completa;estrato 3;3 a 4;0;1;1;1;1
1;0;0.028416004580917614;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.04988905590151027;0.06666666666666668;23.07;1;0;tres;secundaria (bachillerato) completa;primaria completa;estrato 2;3 a 4;0;1;0;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;19.37;0;0;tres;educación profesional completa;educación profesional completa;estrato 3;3 a 4;1;1;1;1;0
1;0;0.10700737241428673;0.8067425381146661;0.14444444444444446;0.8930642044234486;0.02311931858850476;0.14444444444444446;20.45;0;0;tres;técnica o tecnológica incompleta;educación profesional completa;estrato 5;7 a 8;1;1;1;0;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;18.75;1;0;dos;educación profesional completa;técnica o tecnológica completa;estrato 3;1 a 2;0;1;1;1;1
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.035287381003507264;0.5832080738672966;0.06666666666666668;20.56;1;0;tres;educación profesional completa;educación profesional completa;estrato 6;3 a 4;1;1;1;1;1
1;1;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;19.41;0;0;tres;técnica o tecnológica incompleta;técnica o tecnológica incompleta;estrato 4;3 a 4;1;1;1;1;1
1;0;0.10700737241428673;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.2903156538544127;0.22222222222222224;20.44;0;0;tres;secundaria (bachillerato) completa;secundaria (bachillerato) completa;estrato 2;3 a 4;0;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.03333333333333333;0.8930642044234486;0.5832080738672966;0.03333333333333333;20.84;1;0;tres;educación profesional completa;educación profesional completa;estrato 3;3 a 4;0;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.07164841457304416;0.5832080738672966;0.7888888888888889;21.54;1;0;dos;educación profesional completa;no sabe;estrato 3;1 a 2;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.15555555555555556;0.07164841457304416;0.2903156538544127;0.15555555555555556;19.6;0;0;seis o mas;primaria incompleta;primaria incompleta;estrato 3;9 o más;1;1;1;1;0
1;0;0.8645766230047957;0.11509555507837664;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.24;0;0;tres;técnica o tecnológica completa;educación profesional incompleta;estrato 4;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.71;1;0;dos;postgrado;secundaria (bachillerato) incompleta;estrato 5;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.03333333333333333;0.8930642044234486;0.5832080738672966;0.03333333333333333;20.53;1;0;tres;educación profesional completa;secundaria (bachillerato) incompleta;estrato 4;1 a 2;1;1;1;1;1
1;0;0.10700737241428673;0.8067425381146661;0.5444444444444444;0.8930642044234486;0.04988905590151027;0.5444444444444444;20.29;1;0;tres;educación profesional completa;educación profesional completa;estrato 3;3 a 4;1;1;1;1;0
0;0;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.5832080738672966;0.22222222222222224;20.53;0;0;tres;educación profesional completa;educación profesional completa;estrato 4;3 a 4;1;1;1;1;1
